"Name","Article","DOI","LatCentDeg","LonCentDeg","Areakm2","LatExtentk","EleExtentm","Eleminm","Elemaxm","Elemeanm"
"A79_P1","Delava_al_2014_JB","10.1111/jbi.12314",4.99881,45.49968,12998.49,162.46,1882.23,79.19,1961.42,650.2
"A8_P1","Brommer_al_2012_PLoSONE","10.1371/journal.pone.0043648",26.22686,64.47058,337584.69,924.01,1351.34,0,1351.34,184.54
"A8_P2","Brommer_al_2012_PLoSONE","10.1371/journal.pone.0043648",26.22686,64.47058,337584.69,924.01,1351.34,0,1351.34,184.54
"A8_P3","Brommer_al_2012_PLoSONE","10.1371/journal.pone.0043648",26.22686,64.47058,337584.69,924.01,1351.34,0,1351.34,184.54
"A80_P1","Dobbertin_al_2005_IJB","10.1007/s00484-005-0263-5",7.55762,46.20688,5181.8,68.38,4233.46,209.11,4442.57,690.57
"A83_P1","Kawakami_al_2014_AEZ","10.1007/s13355-013-0224-0",134.97752,34.50853,191333.56,1245.34,21064,0,21064,410.2
"A84_P1","Virtanen_al_2010_GEB","10.1111/j.1466-8238.2010.00570.x",24.54481,69.81463,88340.29,229.74,1785.98,0,1785.98,362.31
"A85_P1","Boisvert-Marsh_al_2014_Ecosphere","10.1890/ES14-00111.1",-71.65457,49.59775,810518.94,883.97,1543.79,0,1543.79,145
"A85_P2","Boisvert-Marsh_al_2014_Ecosphere","10.1890/ES14-00111.1",-71.65457,49.59775,810518.94,883.97,1543.79,0,1543.79,145
"A86_P1","Hiddink_al_2015_GCB","10.1111/gcb.12726",2.50286,56.20972,428324.84,942.35,NA,NA,NA,NA
"A88_P1","Bowman_al_2005_CJZ","10.1139/z05-144",-79.90266,45.07994,127002.07,584.78,1064.36,8.96,1073.33,179
"A89_P1","Savage_Vellend_2014_Ecography","10.1111/ecog.01131",-71.15733,45.45911,62.49,10.01,703.46,370.02,1073.49,372.23
"A9_P1","Brommer_2004_AZF","https://www.jstor.org/stable/23735946",26.22686,64.47058,337584.69,924.01,1351.34,0,1351.34,184.54
"A90_P1","Burgarella_al_2014_JB","10.1111/jbi.12224",174.12436,-39.34575,6.12,8.94,1627.18,329.5,1956.69,989.71
"A90_P2","Burgarella_al_2014_JB","10.1111/jbi.12224",174.16184,-39.31391,7.92,2.55,1139.06,407.67,1546.72,1546.72
"A93_P1","Botts_al_2015_AE","10.1111/aec.12215",26.59129,-28.83267,904664.79,1497.77,3448.17,0,3448.17,1279.69
"A94_P1","Chust_al_2013_ICESJMS","10.1093/icesjms/fst147",-31.25454,49.72604,13635439.09,3116.24,NA,NA,NA,NA
"A95_P1","Mathisen_al_2014_AVS","10.1111/avsc.12038",33.54879,67.69513,140,4.24,1028.25,120.22,1148.48,377.09
"A98_P1","Hofgaard_al_2013_JB","10.1111/jbi.12053",24.54481,69.81463,88340.29,229.74,1785.98,0,1785.98,362.31
"A99_P1","Kullman_Oberg_2009_JE","10.1111/j.1365-2745.2009.01488.x",13.83187,62.23894,46633.14,246.94,1661.28,56,1717.28,844.13
"A99_P2","Kullman_Oberg_2009_JE","10.1111/j.1365-2745.2009.01488.x",13.83187,62.23894,46633.14,246.94,1661.28,56,1717.28,844.13
"A99_P3","Kullman_Oberg_2009_JE","10.1111/j.1365-2745.2009.01488.x",13.83187,62.23894,46633.14,246.94,1661.28,56,1717.28,844.13
"B271_P1","Taylor_and_Wilson_NZJE","n/a",165.77433,-76.52989,109945.33,352.63,NA,NA,NA,NA
"B336_P1","Connolly_and_Roughgarden_CFG","n/a",-117.60117,32.09709,151.88,1834.19,NA,NA,NA,NA
"B344_P1","Scott_and_Kirkpatrick_AAAR","10.1657/1523-0430(2005)037[0366:CISHIV]2.0.CO;2",73.66983,-53.12524,1.1,6.8,1606.41,0,1606.41,1490.48
"B471_P1","Platts_et_al_SR","n/a",-2.57034,53.97577,222411.38,880.24,1749,0,1749,157.5
"B475_P1","Lindholm_et_al_FB","10.1111/fwb.12030",9.17346,62.13925,4591.53,94.1,2197.12,187.59,2384.71,830.5
"B476_P1","Wu_CC","10.1007/s10584-015-1543-7",103.9633,36.529,9372107.28,4008.38,8641.45,0,8641.45,358.44
"B477_P1","Sun_et_al_OS","10.2326/osj.17.217",103.9633,36.529,9372107.28,4008.38,8641.45,0,8641.45,358.44
"B486_P1","Freeman_et_al_PNAS","10.1073/pnas.1804224115",-71.38412,-12.56821,0.58,4.53,897.57,474.55,1372.12,847.76
"B488_P1","Enriquez-Urzelai_et_al_CC","10.1007/s10584-019-02422-9",-4.16371,40.27614,587631.35,869.22,3408.88,0,3408.88,613.81
"B489_P1","Birkett_et_al_Ecography","10.1111/e c og.03 458",-2.5296,54.70224,20.27,8.1,738.29,147.55,885.84,260.7
"B500_P1","McClure_et_al_EE","https://drive.google.com/drive/folders/1oZ79r9uM14qoq741An7Vy6KNTNrBZ0Aa",-92.64329,51.64519,3420034.3,1973.88,5835.83,0,5835.83,52.59
"B510_P1","Biondi_et_al_PB",NA,13.67383,42.83574,11123.64,192.6,2777.75,0,2777.75,227.42
"B516_P1","Guida_et_al_JB",NA,-114.71792,35.23741,648.76,23.99,1477.21,158.79,1635.99,1227.29
"B516_P2","Guida_et_al_JB",NA,-114.71792,35.23741,648.76,23.99,1477.21,158.79,1635.99,1227.29
"B526_P1","Cheng_W.,_Kendrick_R.C.,_Guo_F.,_Xing_S.,_Tingley_M.W.,_Bonebrake_T.C._DD","10.1111/ddi.12864",114.10841,22.41318,195.9,13.25,885.5,0,885.5,6.86
"B564_P1","Erauskin-Extramiana_et_al_DSR",NA,79.60241,-27.27272,78162362.82,10659.11,NA,NA,NA,NA
"B564_P2","Erauskin-Extramiana_et_al_DSR",NA,19.70067,38.13065,2988247.85,1944.2,NA,NA,NA,NA
"B564_P3","Erauskin-Extramiana_et_al_DSR",NA,-19.14365,26.95013,77124830.24,7479.77,NA,NA,NA,NA
"B564_P4","Erauskin-Extramiana_et_al_DSR",NA,-40.24758,31.77621,41741692.91,7775.38,NA,NA,NA,NA
"B564_P5","Erauskin-Extramiana_et_al_DSR",NA,-18.83411,-33.73758,42815540.24,6886.05,NA,NA,NA,NA
"B564_P6","Erauskin-Extramiana_et_al_DSR",NA,-59.29272,-30.09612,90147399.87,7295.96,NA,NA,NA,NA
"B584_P1","Macgregor_et_al_NC",NA,-2.64148,54.07886,228030.5,1068.05,1749,0,1749,152.94
"B587_P1","He_et_al_EE",NA,95.28337,31.68306,1848511.7,1577.36,8641.45,0,8641.45,1011.07
"B59_P1","Konvicka_et_al_GEB","10.1046/j.1466-822X.2003.00053.x",15.3368,49.73883,78685.41,257.55,1494.53,45.51,1540.04,218.81
"B597_P1","Currie_et_al_FR",NA,23.04378,-35.30106,164462.62,481.69,NA,NA,NA,NA
"B602_P1","Bell_et_al_ICESJMS",NA,-72.32323,39.47122,195158.45,800.61,1244.49,0,1244.49,174
"B613_P1","Gibson-Reinemer_et_al_DD",NA,-105.23679,40.38828,7633.07,74.52,2862.73,1357.22,4219.95,2499.69
"B619_P1","Becker-Scarpitta_et_al_GCB",NA,-64.35565,48.89045,246.28,25.39,535.03,0,535.03,128.2
"B619_P2","Becker-Scarpitta_et_al_GCB",NA,-71.16582,45.45084,59.9,10.02,705.03,368.45,1073.49,408.12
"B633_P1","Bruge_et_al_FMS",NA,-11.69712,53.75796,3787829.91,2272.3,NA,NA,NA,NA
"B642_P1","Hildrew_et_al_STE",NA,-3.20831,51.84962,205.89,30.26,797.7,8.19,805.9,282.22
"B642_P2","Hildrew_et_al_STE",NA,2.61645,46.76432,2950.19,340.68,1792.83,0,1792.83,80.75
"B646_P1","Nooten_and_Rehan_Book",NA,-71.57953,43.67839,23872.37,283.67,2617.75,0,2617.75,69.4
"B650_P1","Chust_et_al_FO",NA,-16.18007,45.2921,2159828.68,1879.73,NA,NA,NA,NA
"B683_P1","Kobiv,_Y_FG","10.1007/s12224-016-9270-z",23.89499,48.56099,21790.19,222.11,1926.35,53.57,1979.91,307.83
"B689_P1","Barrows_et_al_BC","10.1016/j.biocon.2020.108667",-115.84024,33.91581,3174.66,52.89,1737.04,0,1737.04,1449.07
"B693_P1","Bani_et_al_EE","10.1002/ece3.4838",9.92915,46.086,7629.68,118.43,3836.09,33.45,3869.54,2405.48
"B711_P1","Abella_et_al_EM","10.1002/ecm.1390",-114.7138,35.25128,604.46,22.84,1476.98,159.02,1635.99,1142.36
"B711_P2","Abella_et_al_EM","10.1002/ecm.1390",-114.7138,35.25128,604.46,22.84,1476.98,159.02,1635.99,1142.36
"B725_P1","Wu_et_al_NC","10.1038/s41467-019-12655-y",116.56324,6.05471,3.75,3.43,1492.66,2377.3,3869.96,3865.43
"B747_P1","Carosi_et_al_W","10.3390/w11112349",12.45294,42.9238,10650.59,160.92,2353.42,0,2353.42,544.38
"B751_P1","Boisvert-Marsh_et_al_JE","10.1111/1365-2745.13149",-70.49871,48.99802,1227407.82,843.27,1543.79,0,1543.79,240.94
"B781_P1","Delgado_et_al_MEPS","10.3354/meps12791",-6.68801,36.57476,8328.75,136.66,NA,NA,NA,NA
"B89_P1","Gillings_et_al_GCB","10.1111/gcb.12823",-2.63665,54.0785,227453.59,1068.05,1749,0,1749,152.94
