PopId;RefID;Year;TaxaClass;Family;Genus;Species;G_s;Common;Continent;Country;Location;n;FST;GlobalFST;PopsCombo;GroupedCoord;N.Population;Ho;He;MNA;AR;Lat;Long;Msats;Lat_extent;Lat_max_DD;Lat_min_DD;Sum_areaM;Sum_areaKM;;;;;;;;;;;;;;
61;R9;2002;Freshwater;Acipenseridae;Acipenser;transmontanus;Acipenser_transmontanus;White sturgeon;NAm;CAN;Lower Fraser;157;0.058;Global;1;;9;NA;NA;NA;NA;49.200329;-123.111015;4;19;56;36;6.51196E+11;651195687.4;;;;;;;;;;;;;;
62;R9;2002;Freshwater;Acipenseridae;Acipenser;transmontanus;Acipenser_transmontanus;White sturgeon;NAm;CAN;Middle Fraser;206;0.058;Global;1;;9;NA;NA;NA;NA;49.969885;-121.506668;4;19;56;36;6.51196E+11;651195687.4;;;;;;;;;;;;;;
63;R9;2002;Freshwater;Acipenseridae;Acipenser;transmontanus;Acipenser_transmontanus;White sturgeon;NAm;CAN;Nechako River + Fraser 9;93;0.058;Global;2;Middle;9;NA;NA;NA;NA;50.762633;-121.898056;4;19;56;36;6.51196E+11;651195687.4;;;;;;;;;;;;;;
64;R9;2002;Freshwater;Acipenseridae;Acipenser;transmontanus;Acipenser_transmontanus;White sturgeon;NAm;CAN;Upper Columbia R;50;0.058;Global;1;;9;NA;NA;NA;NA;49.31591;-117.654098;4;19;56;36;6.51196E+11;651195687.4;;;;;;;;;;;;;;
65;R9;2002;Freshwater;Acipenseridae;Acipenser;transmontanus;Acipenser_transmontanus;White sturgeon;NAm;CAN;Upper Fraser (8);10;0.058;Global;1;;9;NA;NA;NA;NA;50.675034;-121.919342;4;19;56;36;6.51196E+11;651195687.4;;;;;;;;;;;;;;
66;R10;2008;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;USA;Bad River + White River;179;0.131;Population;2;One Pop - Bigger N;13;NA;0.56;NA;NA;46.563243;-90.415261;12;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
67;R10;2008;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;USA;Black River;11;0.0576;Population;1;;13;NA;0.56;NA;NA;44.000968;-76.000405;12;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
68;R10;2008;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;CAN;Black Sturgeon River;58;0.0933;Population;1;;13;NA;0.56;NA;NA;49.069025;-88.281944;12;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
69;R10;2008;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;CAN;Des Prairies River + St Lawrence;69;0.0683;Population;2;One Pop - Bigger N;13;NA;0.56;NA;4.07;45.704093;-73.498111;12;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
70;R10;2008;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;USA;Detroit River+St Clair+Lower Niagara River;113;0.0633;Population;3;Middle;13;NA;0.56;NA;NA;42.300415;-83.084871;12;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
