"","X","Name_lc","tax","kingdom","phylum","class","order","family","genus","species","verbatimScientificName","SpeciesChecked"
"125",289,"Pedicularis lapponica","plant","Plantae","Streptophyta","Magnoliopsida","Lamiales","Orobanchaceae","Pedicularis","Pedicularis lapponica","Pedicularis lapponica","Pedicularis lapponica"
"126",291,"Pedicularis oederi","plant","Plantae","Streptophyta","Magnoliopsida","Lamiales","Orobanchaceae","Pedicularis","Pedicularis oederi","Pedicularis oederi","Pedicularis oederi"
"127",292,"Pedicularis sceptrum-carolinum","plant","Plantae","Streptophyta","Magnoliopsida","Lamiales","Orobanchaceae","Pedicularis","Pedicularis sceptrum-carolinum","Pedicularis sceptrum-carolinum","Pedicularis sceptrum-carolinum"
"128",293,"Phleum alpinum","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Phleum","Phleum alpinum","Phleum alpinum","Phleum alpinum"
"129",294,"Phyllodoce caerulea","plant","Plantae","Streptophyta","Magnoliopsida","Ericales","Ericaceae","Phyllodoce","Phyllodoce caerulea","Phyllodoce caerulea","Phyllodoce caerulea"
"130",297,"Poa alpina","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Poa","Poa alpina","Poa alpina","Poa alpina"
"131",299,"Poa pratensis","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Poa","Poa pratensis","Poa pratensis","Poa pratensis"
"132",300,"Potentilla crantzii","plant","Plantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Potentilla","Potentilla crantzii","Potentilla crantzii","Potentilla crantzii"
"133",301,"Pulsatilla vernalis","plant","Plantae","Streptophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Anemone","Anemone vernalis","Anemone vernalis","Anemone vernalis"
"134",302,"Pyrola minor","plant","Plantae","Streptophyta","Magnoliopsida","Ericales","Ericaceae","Pyrola","Pyrola minor","Pyrola minor","Pyrola minor"
"135",304,"Ranunculus acris","plant","Plantae","Streptophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus acris","Ranunculus acris","Ranunculus acris"
"136",305,"Rhinanthus minor","plant","Plantae","Streptophyta","Magnoliopsida","Lamiales","Orobanchaceae","Rhinanthus","Rhinanthus minor","Rhinanthus minor","Rhinanthus minor"
"137",307,"Rhodiola rosea","plant","Plantae","Streptophyta","Magnoliopsida","Saxifragales","Crassulaceae","Rhodiola","Rhodiola rosea","Rhodiola rosea","Rhodiola rosea"
"138",308,"Rubus saxatilis","plant","Plantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Rubus","Rubus saxatilis","Rubus saxatilis","Rubus saxatilis"
"139",310,"Rumex acetosa","plant","Plantae","Streptophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Rumex","Rumex acetosa","Rumex acetosa","Rumex acetosa"
"140",312,"Salix glauca","plant","Plantae","Streptophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix","Salix glauca","Salix glauca","Salix glauca"
"141",314,"Salix herbacea","plant","Plantae","Streptophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix","Salix herbacea","Salix herbacea","Salix herbacea"
"142",315,"Salix lanata","plant","Plantae","Streptophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix","Salix lanata","Salix lanata","Salix lanata"
"143",318,"Salix lapponum","plant","Plantae","Streptophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix","Salix lapponum","Salix lapponum","Salix lapponum"
"144",320,"Salix myrsinites","plant","Plantae","Streptophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix","Salix myrsinites","Salix myrsinites","Salix myrsinites"
"145",322,"Saxifraga stellaris","plant","Plantae","Streptophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Micranthes","Micranthes stellaris","Micranthes stellaris","Micranthes stellaris"
"146",324,"Selaginella selaginoides","plant","Plantae","Streptophyta","Lycopodiopsida","Selaginellales","Selaginellaceae","Selaginella","Selaginella selaginoides","Selaginella selaginoides","Selaginella selaginoides"
"147",325,"Sibbaldia procumbens","plant","Plantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Sibbaldia","Sibbaldia procumbens","Sibbaldia procumbens","Sibbaldia procumbens"
"148",327,"Silene acaulis","plant","Plantae","Streptophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Silene","Silene acaulis","Silene acaulis","Silene acaulis"
"149",328,"Solidago virgaurea","plant","Plantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Solidago","Solidago virgaurea","Solidago virgaurea","Solidago virgaurea"
"150",330,"Stellaria borealis","plant","Plantae","Streptophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Stellaria","Stellaria borealis","Stellaria borealis","Stellaria borealis"
"151",332,"Thalictrum alpinum","plant","Plantae","Streptophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Thalictrum","Thalictrum alpinum","Thalictrum alpinum","Thalictrum alpinum"
"152",333,"Trientalis europaea","plant","Plantae","Streptophyta","Magnoliopsida","Ericales","Primulaceae","Trientalis","Trientalis europaea","Trientalis europaea","Trientalis europaea"
"153",335,"Trifolium repens","plant","Plantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium","Trifolium repens","Trifolium repens","Trifolium repens"
"154",337,"Trisetum spicatum","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Trisetum","Trisetum spicatum","Trisetum spicatum","Trisetum spicatum"
"155",340,"Vaccinium myrtillus","plant","Plantae","Streptophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","Vaccinium myrtillus","Vaccinium myrtillus","Vaccinium myrtillus"
